IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
13.212.61.1,443,true,SIN,Asia Pacific,Singapore,52 ms,47631 kB/s
13.212.149.74,443,true,SIN,Asia Pacific,Singapore,45 ms,46879 kB/s
54.254.143.148,443,true,SIN,Asia Pacific,Singapore,45 ms,44736 kB/s
13.250.131.37,443,true,SIN,Asia Pacific,Singapore,46 ms,41363 kB/s
47.128.215.88,443,true,SIN,Asia Pacific,Singapore,45 ms,40453 kB/s
13.228.24.123,443,true,SIN,Asia Pacific,Singapore,49 ms,40140 kB/s
47.128.226.253,443,true,SIN,Asia Pacific,Singapore,50 ms,39146 kB/s
47.128.246.77,443,true,HKG,Asia Pacific,Hong Kong,41 ms,25263 kB/s
13.212.51.201,443,true,SIN,Asia Pacific,Singapore,45 ms,16050 kB/s
54.254.253.107,443,true,SIN,Asia Pacific,Singapore,41 ms,2894 kB/s
54.169.243.185,443,true,SIN,Asia Pacific,Singapore,41 ms,2371 kB/s
13.212.235.177,443,true,SIN,Asia Pacific,Singapore,50 ms,1795 kB/s
13.212.235.46,443,true,SIN,Asia Pacific,Singapore,50 ms,1665 kB/s
13.212.90.59,443,true,SIN,Asia Pacific,Singapore,50 ms,1491 kB/s
18.102.110.23,443,true,MXP,Europe,Milan,222 ms,0 kB/s
3.112.21.102,443,true,NRT,Asia Pacific,Tokyo,50 ms,0 kB/s
3.37.70.169,443,true,ICN,Asia Pacific,Seoul,65 ms,0 kB/s
13.212.32.213,443,true,SIN,Asia Pacific,Singapore,41 ms,0 kB/s
13.212.31.158,443,true,SIN,Asia Pacific,Singapore,50 ms,0 kB/s
